Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Custom field (Actual Result),Custom field (Actual Results),Custom field (Actual end),Custom field (Actual result),Custom field (Actual start),Custom field (Affected services),Custom field (Begin Date),Custom field (Bug ID),Custom field (Build number),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (End Date),Custom field (Environment),Custom field (Environment),Custom field (Environment),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Results),Custom field (Expected Results),Custom field (Expected result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Precondition),Custom field (Priority),Custom field (Rank),Custom field (Reported on),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Revision),Satisfaction rating,Custom field (Severity),Sprint,Custom field (Start date),Custom field (Steps to Reproduce),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Work category),Custom field ([CHART] Date of First Response),Status Category
As authorized user  able to check all my boxes,SEC-21,10061,Xray Test,In Progress,SEC,SecretSanta,software,Anna Vyalova,632cb19114c6b4b2210bba43,,Medium,,,,Anna Vyalova,632cb19114c6b4b2210bba43,Anna Vyalova,632cb19114c6b4b2210bba43,23/Feb/23 10:39 PM,23/Feb/23 10:48 PM,23/Feb/23 10:50 PM,,,0,box1,box2,,,Anna Vyalova,632cb19114c6b4b2210bba43,,,,,,,,,,,,,,,,,,,SEC-11,,SEC-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00086:cz,,,,,,,,SEC Sprint 1,,,,,,,,,,,,,,,In Progress
As authorized user able to delete box2,SEC-20,10060,Xray Test,In Progress,SEC,SecretSanta,software,Anna Vyalova,632cb19114c6b4b2210bba43,,Medium,,,,Anna Vyalova,632cb19114c6b4b2210bba43,Anna Vyalova,632cb19114c6b4b2210bba43,23/Feb/23 10:37 PM,23/Feb/23 10:48 PM,23/Feb/23 10:46 PM,,,0,box2,,Check as the box functionality works correctly,,Anna Vyalova,632cb19114c6b4b2210bba43,,,,,,,,,,,,,,,,,,,SEC-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00086:cy,,,,,,,,SEC Sprint 1,,,,,,,,,,,,,,,In Progress
As authorized user edit box2,SEC-19,10059,Xray Test,In Progress,SEC,SecretSanta,software,Anna Vyalova,632cb19114c6b4b2210bba43,,Medium,,,,Anna Vyalova,632cb19114c6b4b2210bba43,Anna Vyalova,632cb19114c6b4b2210bba43,23/Feb/23 10:35 PM,23/Feb/23 10:48 PM,23/Feb/23 10:46 PM,,,0,box2,,,,Anna Vyalova,632cb19114c6b4b2210bba43,,,,,,,,,,,,,,,,,,,SEC-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00086:cx,,,,,,,,SEC Sprint 1,,,,,,,,,,,,,,,In Progress
As authorized User I am able to create a box without cash limit,SEC-18,10058,Xray Test,In Progress,SEC,SecretSanta,software,Anna Vyalova,632cb19114c6b4b2210bba43,,Medium,,,,Anna Vyalova,632cb19114c6b4b2210bba43,Anna Vyalova,632cb19114c6b4b2210bba43,23/Feb/23 10:32 PM,23/Feb/23 10:48 PM,23/Feb/23 10:46 PM,,,0,box2,,,,Anna Vyalova,632cb19114c6b4b2210bba43,,,,,,,,,,,,,,,,,,,SEC-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00086:cv,,,,,,,,SEC Sprint 1,,,,,,,,,,,,,,,In Progress
As authorized user get key number for box2,SEC-17,10057,Xray Test,In Progress,SEC,SecretSanta,software,Anna Vyalova,632cb19114c6b4b2210bba43,,Medium,,,,Anna Vyalova,632cb19114c6b4b2210bba43,Anna Vyalova,632cb19114c6b4b2210bba43,23/Feb/23 10:31 PM,23/Feb/23 10:48 PM,23/Feb/23 10:46 PM,,,0,box2,,,,Anna Vyalova,632cb19114c6b4b2210bba43,,,,,,,,,,,,,,,,,,,SEC-11,SEC-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00086:cr,,,,,,,,SEC Sprint 1,,,,,,,,,,,,,,,In Progress
As authorized user able to delete box1,SEC-16,10056,Xray Test,In Progress,SEC,SecretSanta,software,Anna Vyalova,632cb19114c6b4b2210bba43,,Medium,,,,Anna Vyalova,632cb19114c6b4b2210bba43,Anna Vyalova,632cb19114c6b4b2210bba43,23/Feb/23 10:29 PM,23/Feb/23 10:48 PM,23/Feb/23 10:50 PM,,,0,box1,,,,Anna Vyalova,632cb19114c6b4b2210bba43,,,,,,,,,,,,,,,,,,,SEC-11,,SEC-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00086:ci,,,,,,,,SEC Sprint 1,,,,,,,,,,,,,,,In Progress
As authorized user edit box1,SEC-15,10055,Xray Test,In Progress,SEC,SecretSanta,software,Anna Vyalova,632cb19114c6b4b2210bba43,,Medium,,,,Anna Vyalova,632cb19114c6b4b2210bba43,Anna Vyalova,632cb19114c6b4b2210bba43,23/Feb/23 10:25 PM,23/Feb/23 10:48 PM,23/Feb/23 10:46 PM,,,0,box1,,,,Anna Vyalova,632cb19114c6b4b2210bba43,,,,,,,,,,,,,,,,,,,SEC-11,SEC-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00086:ct,,,,,,,,SEC Sprint 1,,,,,,,,,,,,,,,In Progress
As authorized user check if the box1 created with correct key,SEC-14,10054,Xray Test,In Progress,SEC,SecretSanta,software,Anna Vyalova,632cb19114c6b4b2210bba43,,Medium,,,,Anna Vyalova,632cb19114c6b4b2210bba43,Anna Vyalova,632cb19114c6b4b2210bba43,23/Feb/23 10:22 PM,23/Feb/23 10:48 PM,23/Feb/23 10:46 PM,,,0,box1,,,,Anna Vyalova,632cb19114c6b4b2210bba43,,,,,,,,,,,,,,,,,,,SEC-11,,SEC-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00086:c,,,,,,,,SEC Sprint 1,,,,,,,,,,,,,,,In Progress
As authorized user get key number for box1,SEC-13,10053,Xray Test,In Progress,SEC,SecretSanta,software,Anna Vyalova,632cb19114c6b4b2210bba43,,Medium,,,,Anna Vyalova,632cb19114c6b4b2210bba43,Anna Vyalova,632cb19114c6b4b2210bba43,23/Feb/23 10:16 PM,23/Feb/23 10:48 PM,23/Feb/23 10:46 PM,,,0,box1,,,,Anna Vyalova,632cb19114c6b4b2210bba43,,,,,,,,,,,,,,,,,,,SEC-11,SEC-14,SEC-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00086:b,,,,,,,,SEC Sprint 1,,,,,,,,,,,,,,,In Progress
As authorized User I am able to create a box with cash limit,SEC-12,10052,Xray Test,In Progress,SEC,SecretSanta,software,Anna Vyalova,632cb19114c6b4b2210bba43,,Medium,,,,Anna Vyalova,632cb19114c6b4b2210bba43,Anna Vyalova,632cb19114c6b4b2210bba43,23/Feb/23 10:11 PM,23/Feb/23 10:48 PM,23/Feb/23 10:46 PM,,,0,box1,,,,Anna Vyalova,632cb19114c6b4b2210bba43,,,,,,,,,,,,,,,,,,,SEC-11,SEC-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00086:4,,,,,,,,SEC Sprint 1,,,,,,,,,,,,,,,In Progress
Box functionality,SEC-11,10051,Story,In Progress,SEC,SecretSanta,software,Anna Vyalova,632cb19114c6b4b2210bba43,,Medium,,,,Anna Vyalova,632cb19114c6b4b2210bba43,Anna Vyalova,632cb19114c6b4b2210bba43,23/Feb/23 10:10 PM,23/Feb/23 10:47 PM,23/Feb/23 10:48 PM,,,0,box1,box2,,,Anna Vyalova,632cb19114c6b4b2210bba43,,,,,,,,,SEC-12,SEC-13,SEC-14,SEC-15,SEC-16,SEC-17,SEC-18,SEC-19,SEC-20,SEC-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008b:,,,,,,,,SEC Sprint 1,,,,,,,,,,,,,,,In Progress
